authors,pmid_isbn,pmcid,nihmsid,doi,citation_count,open_access,first_page,last_page,title,year,publication,volume,issue,type_mapping,packet
"Kispersky TJ, Fernandez FR, Economo MN, White JA",22423087,,,10.1523/JNEUROSCI.1361-11.2012,,,3637,3651,Spike resonance properties in hippocampal O-LM cells are dependent on refractory  dynamics.,2012 Mar 14,J Neurosci,32,11,,
"Mercer A, Botcher NA, Eastlake K, Thomson AM",22431345,,,10.1002/hipo.22010,,,1758,1769,SP-SR interneurones: a novel class of neurones of the CA2 region of the hippocampus.,2012 Aug,Hippocampus,22,8,,
"Drexel M, Kirchmair E, Wieselthaler-Holzl A, Preidt AP, Sperk G",22437342,,,10.1097/NEN.0b013e31824d9882,,,312,329,Somatostatin and neuropeptide Y neurons undergo different plasticity in parahippocampal regions in kainic acid-induced epilepsy.,2012 Apr,J Neuropathol Exp Neurol,71,4,,
"Royer S, Zemelman BV, Losonczy A, Kim J, Chance F, Magee JC, Buzsaki G",22446878,,,,,,769,775,"Control of Timing, Rate and Bursts of Hippocampal Place Cells by Dendritic and Somatic Inhibition",2020,Nature Neuroscience,,,,
"Ledri M, Nikitidou L, Erdelyi F, Szabo G, Kirik D, Deisseroth K, Kokaia M",22512307,,,10.1111/j.1460-9568.2012.08080.x,,,1971,1983,Altered profile of basket cell afferent synapses in hyper-excitable dentate gyrus revealed by optogenetic and two-pathway stimulations.,2012 Jul,Eur J Neurosci,36,1,,
"Szabo A, Somogyi J, Cauli B, Lambolez B, Somogyi P, Lamsa KP",22573673,,,10.1523/JNEUROSCI.0206-12.2012,,,6511,6516,Calcium-permeable AMPA receptors provide a common mechanism for LTP in glutamatergic synapses of distinct hippocampal interneuron types.,2012 May 9,J Neurosci,32,19,,
"Scharfman HE, Pierce JP",22612815,,,10.1111/j.1528-1167.2012.03480.x,,,109,115,New insights into the role of hilar ectopic granule cells in the dentate gyrus based on quantitative anatomic analysis and three-dimensional reconstruction.,2012 Jun,Epilepsia,53 Suppl 1,,,
"Walling SG, Brown RA, Miyasaka N, Yoshihara Y, Harley CW",22654744,,,10.3389/fnbeh.2012.00023,,,23,,Selective wheat germ agglutinin (WGA) uptake in the hippocampus from the locus coeruleus of dopamine-beta-hydroxylase-WGA transgenic mice.,2012,Front Behav Neurosci,6,,,
"Somogyi J, Szabo A, Somogyi P, Lamsa K",22666191,,,10.3389/fncir.2012.00035,,,35,,Molecular analysis of ivy cells of the hippocampal CA1 stratum radiatum using spectral identification of immunofluorophores.,2012,Front Neural Circuits,6,,,
"Dugladze T, Schmitz D, Whittington MA, Vida I, Gloveli T",22700932,,,10.1126/science.1222017,,,1458,1461,Segregation of axonal and somatic activity during fast network oscillations.,2012 Jun 15,Science,336,6087,,
"Tanaka KF, Samuels BA, Hen R",22826340,,,10.1098/rstb.2012.0038,,,2395,2401,Serotonin receptor expression along the dorsal-ventral axis of mouse hippocampus.,2012 Sep 5,Philos Trans R Soc Lond B Biol Sci,367,1601,,
"Chang EH, Huerta PT",22833721,,,,,,46,,Neurophysiological correlates of object recognition in the dorsal subiculum,2012,Frontiers in Behavioral Neuroscience,,,,
"Lapray D, Lasztoczi B, Lagler M, Viney TJ, Katona L, Valenti O, Hartwich K, Borhegyi Z, Somogyi P, Klausberger T",22864613,,,10.1038/nn.3176,,,1265,1271,Behavior-dependent specialization of identified hippocampal interneurons.,2012 Sep,Nat Neurosci,15,9,,
"Tahvildari B, Wolfel M, Duque A, McCormick DA",22933799,PMC3466092,,10.1523/JNEUROSCI.1181-12.2012,,,12165,79,Selective functional interactions between excitatory and inhibitory cortical neurons and differential contribution to persistent activity of the slow oscillation. ,2012 Aug 29,J Neurosci,32,35,,
"Varga C, Golshani P, Soltesz I",23010933,,,,,,2726,2734,Frequency-invariant temporal ordering of interneuronal discharges during hippocampal oscillations in awake mice.,2012,Proc Natl Acad Sci U S A,,,,
"Leao RN, Mikulovic S, Leao KE, Munguba H, Gezelius H, Enjin A, Patra K, Eriksson A, Loew LM, Tort AB, Kullander K",23042082,,,10.1038/nn.3235,,,1524,1530,OLM interneurons differentially modulate CA3 and entorhinal inputs to hippocampal CA1 neurons.,2012 Nov,Nat Neurosci,15,11,,
"Chamberland S, Topolnik L",23162426,,,10.3389/fnins.2012.00165,,,165,,Inhibitory control of hippocampal inhibitory neurons.,2012,Front Neurosci,6,,,
"McCall T, Weil ZM, Nacher J, Bloss EB, El Maarouf A, Rutishauser U, McEwen BS",23219884,,,10.1016/j.expneurol.2012.11.028,,,5,12,Depletion of polysialic acid from neural cell adhesion molecule (PSA-NCAM) increases CA3 dendritic arborization and increases vulnerability to excitotoxicity.,2012 Dec 7,Exp Neurol,241C,,,
"Tricoire L, Vitalis T",23227003,,,10.3389/fncir.2012.00082,,,82,,Neuronal nitric oxide synthase expressing neurons: a journey from birth to neuronal circuits.,2012,Front Neural Circuits,6,,,
"Dieni CV, Chancey JH, Overstreet-Wadiche LS",23316139,,,10.3389/fncir.2012.00113,,,113,,Dynamic functions of GABA signaling during granule cell maturation.,2012,Front Neural Circuits,6,,,
"Couey JJ, Witoelar A, Zhang SJ, Zheng K, Ye J, Dunn B, Czajkowski R, Moser MB, Moser EI, Roudi Y, Witter MP",23334580,,,10.1038/nn.3310,,,318,324,Recurrent inhibitory circuitry as a mechanism for grid formation.,2013 Mar,Nat Neurosci,16,3,,
"Bonnevie T, Dunn B, Fyhn M, Hafting T, Derdikman D, Kubie JL, Roudi Y, Moser EI, Moser MB",23334581,,,,,,309,17,Grid cells require excitatory drive from the hippocampus. ,2013 Mar,Nat Neurosci,16,,,
"Fridman A, Pak I, Butts BD, Hoek M, Nicholson DW, Mehmet H",23334582,,,10.1007/s10495-012-0789-z,,,369,71,MerCASBA: an updated and refined database of caspase substrates. ,2013 Mar,Apoptosis,18,3,,
"Gonzalez OA, Novak MJ, Kirakodu S, Stromberg AJ, Shen S, Orraca L, Gonzalez-Martinez J, Ebersole JL",23334583,PMC3592930,,10.1007/s10495-013-0806-x,,,249,59,Effects of aging on apoptosis gene expression in oral mucosal tissues. ,2013 Mar,Apoptosis,18,3,,
"Hortnagl H, Tasan RO, Wieselthaler A, Kirchmair E, Sieghart W, Sperk G",23337532,,,10.1016/j.neuroscience.2013.01.008,,,345,372,Patterns of mRNA and protein expression for 12 GABAA receptor subunits in the mouse brain.,2013 Apr 16,Neuroscience,236,,,
"Liang Z, Zhang L, Wang X, Gao F, Wang X, Zhou S, Yu S, Zhan RZ",23419891,,,10.1016/j.brainres.2013.02.014,,,11,21,Distribution and neurochemical features of neuronal nitric oxide synthase-expressing interneurons in the rat dentate gyrus.,2013 Apr 10,Brain Res,1505,,,
"Scharfman HE, Myers CE",23420672,,,10.3389/fncir.2012.00106,,,106,,Hilar mossy cells of the dentate gyrus: a historical perspective.,2012,Front Neural Circuits,6,,,
"Vivar C, van Praag H",23443839,,,10.3389/fncir.2013.00015,,,15,,Functional circuits of new neurons in the dentate gyrus.,2013 Feb 25,Front Neural Circuits,7,,,
"Quattrocolo G, Maccaferri G",23536064,,,10.1523/JNEUROSCI.5680-12.2013,,,5486,5498,Novel GABAergic circuits mediating excitation/inhibition of Cajal-Retzius cells in the developing hippocampus.,2013 Mar 27,J Neurosci,33,13,,
"Tukker JJ, Lasztoczi B, Katona L, Roberts JDB, Pissadaki EK, Dalezios Y, Marton L, Zhang L, Klausberger T, Somogyi P",23595740,,,,,,6809,6825,Distinct Dendritic Arborization and in Vivo Firing Patterns of Parvalbumin-Expressing Basket Cells in the Hippocampal Area CA3,2013,J Neurosci.,,,,
"Bezaire MJ, Soltesz I",23674373,,,10.1002/hipo.22141,,,751,785,Quantitative assessment of CA1 local circuits: knowledge base for interneuron-pyramidal cell connectivity.,2013 Sep,Hippocampus,23,9,,
"Bell LA, Bell KA, McQuiston AR",23747570,PMC3783005,,10.1016/j.neuropharm.2013.05.026,,,160,73,Synaptic muscarinic response types in hippocampal CA1 interneurons depend on different levels of presynaptic activity and different muscarinic receptor subtypes. ,2013 Oct,Neuropharmacology,73,,,
"Hajos N, Karlocai MR, Nemeth B, Ulbert I, Monyer H, Szabo G, Erdelyi F, Freund TF, Gulyas AI",23843535,,,10.1523/JNEUROSCI.5729-12.2013,,,11677,11691,Input-output features of anatomically identified CA3 neurons during hippocampal sharp wave/ripple oscillation in vitro.,2013 Jul,J Neurosci,33,28,,
"Anstotz M, Cosgrove KE, Hack I, Mugnaini E, Maccaferri G, Lubke JH",24026287,,,10.1007/s00429-013-0627-2,,,2119,2139,"Morphology, input-output relations and synaptic connectivity of Cajal-Retzius cells in layer 1 of the developing neocortex of CXCR4-EGFP mice.",2013 Sep 12,Brain Struct Funct,219,6,,
"Rowland DC, Weible AP, Wickersham IR, Wu H, Mayford M, Witter MP, Kentros CG",24027288,,,10.1523/JNEUROSCI.1046-13.2013,,,14889,14898,Transgenically targeted rabies virus demonstrates a major monosynaptic projection from hippocampal area CA2 to medial entorhinal layer II neurons.,2013 Sep 11,J Neurosci,33,37,,
"Chittajallu R, Craig MT, McFarland A, Yuan X, Gerfen S, Tricoire L, Erkkila B, Barron SC, Lopez CM, Liang BJ, Jeffries BW, Pelkey KA, McBain CJ",24097043,,,10.1038/nn.3538,,,1598,1607,Dual origins of functionally distinct O-LM interneurons revealed by differential  5-HT(3A)R expression.,2013 Nov,Nat Neurosci,16,11,,
"Hosp JA, Struber M, Yanagawa Y, Obata K, Vida I, Jonas P, Bartos M",24108530,PMC4165310,,10.1002/hipo.22214,,,189,203,Morpho-physiological criteria divide dentate gyrus interneurons into classes. ,2014 Feb,Hippocampus,24,2,,
"Viney TJ, Lasztoczi B, Katona L, Crump MG, Tukker JJ, Klausberger T, Somogyi P",24141313,,,10.1038/nn.3550,,,1802,1811,Network state-dependent inhibition of identified hippocampal CA3 axo-axonic cells in vivo.,2013 Dec,Nat Neurosci,16,12,,
"Forro T, Valenti O, Lasztoczi B, Klausberger T",24275828,,,,,,1228,1240,Temporal Organization of GABAergic Interneurons in the Intermediate CA1 Hippocampus During Network Oscillations,2015,Cerebral Cortex,,,,
"Pernia-Andrade AJ, Jonas P",24333053,,,,,,140,152,Theta-gamma-modulated synaptic currents in hippocampal granule cells in vivo define a mechanism for network oscillations.,2014,Neuron,,,,
"Kohara K, Pignatelli M, Rivest AJ, Jung HY, Kitamura T, Suh J, Frank D, Kajikawa K, Mise N, Obata Y, Wickersham IR, Tonegawa S",24336151,,,10.1038/nn.3614,,,269,279,Cell type-specific genetic and optogenetic tools reveal hippocampal CA2 circuits.,2014 Feb,Nat Neurosci,17,2,,
"Liu YC, Cheng JK, Lien CC",24453325,,,10.1523/JNEUROSCI.2566-13.2014,,,1344,1357,Rapid dynamic changes of dendritic inhibition in the dentate gyrus by presynaptic activity patterns.,2014 Jan,J Neurosci,34,4,,
"Ray S, Naumann R, Burgalossi A, Tang Q, Schmidt H, Brecht M",24457213,,,10.1126/science.1243028,,,891,896,Grid-layout and theta-modulation of layer 2 pyramidal neurons in medial entorhinal cortex.,2014 Feb 21,Science,343,6173,,
"Kitamura T, Pignatelli M, Suh J, Kohara K, Yoshiki A, Abe K, Tonegawa S",24457215,,,10.1126/science.1244634,,,896,901,Island cells control temporal association memory.,2014 Feb 21,Science,343,6173,,
"Tyan L, Chamberland S, Magnin E, Camire O, Francavilla R, David LS, Deisseroth K, Topolnik L",24671999,,,10.1523/JNEUROSCI.3813-13.2014,,,4534,4547,Dendritic inhibition provided by interneuron-specific cells controls the firing rate and timing of the hippocampal feedback inhibitory circuitry.,2014 Mar,J Neurosci,34,13,,
"Katona L, Lapray D, Viney TJ, Oulhaj A, Borhegyi Z, Micklem BR, Klausberger T, Somogyi P.",24794095,,,,,,872,886,Sleep and movement differentiates actions of two types of somatostatin-expressing GABAergic interneuron in rat hippocampus.,2014,Neuron,,,,
"Lee SH, Marchionni I, Bezaire M, Varga C, Danielson N, Lovett-Barron M, Losonczy A, Soltesz I",24836505,PMC4076442,,10.1016/j.neuron.2014.03.034,,,1129,44,Parvalbumin-positive basket cells differentiate among hippocampal pyramidal cells. ,2014 Jun 4,Neuron,82,5,,
"Savanthrapadian S, Meyer T, Elgueta C, Booker SA, Vida I, Bartos M",24920624,,,10.1523/JNEUROSCI.5433-13.2014,,,8197,8209,Synaptic properties of SOM- and CCK-expressing cells in dentate gyrus interneuron networks.,2014 Jun 11,J Neurosci,34,24,,
"Arszovszki A, Borhegyi Z, Klausberger T",25009471,,,10.3389/fnana.2014.00053,,,1,11,Three axonal projection routes of individual pyramidal cells in the ventral CA1 hippocampus,2014,Front Neuroanat,8,53,,
"Szabo GG, Papp OI, Mate Z, Szabo G, Hajos N",25044969,,,10.1002/hipo.22330,,,1506,1523,Anatomically heterogeneous populations of CB1 cannabinoid receptor-expressing interneurons in the CA3 region of the hippocampus show homogeneous input-output characteristics.,2014 Dec,Hippocampus,24,12,,
"Dasgupta D, Sikdar SK",25252134,,,10.1002/hipo.22371,,,269,85,Calcium permeable AMPA receptor-dependent long lasting plasticity of intrinsic excitability in fast spiking interneurons of the dentate gyrus decreases inhibition in the granule cell layer. ,2015 Mar,Hippocampus,25,3,,
"Quattrocolo G, Maccaferri G",25253849,,,10.1523/JNEUROSCI.1407-14.2014,,,13018,13032,Optogenetic activation of cajal-retzius cells reveals their glutamatergic output and a novel feedforward circuit in the developing mouse hippocampus.,2014 Sep 24,J Neurosci,34,39,,
"Botcher NA, Falck JE, Thomson AM, Mercer A",25309345,,,10.3389/fnana.2014.00104,,,8,,Distribution of interneurons in the CA2 region of the rat hippocampus.,2014 Sep 26,Front Neuroanat,104,,,
"Varga C, Oijala M, Lish J, Szabo GG, Bezaire M, Marchionni I, Golshani P, Soltesz I",25375253,PMC4270094,,10.7554/eLife.04006,,,e04006,,Functional fission of parvalbumin interneuron classes during fast network events. LID - 10.7554/eLife.04006 [doi] ,2014 Nov 06,Elife,3,,,
"Kelsch W, Li Z, Wieland S, Senkov O, Herb A, Gongrich C, Monyer H",25429143,,,10.1523/JNEUROSCI.1210-14.2014,,,16022,16030,GluN2B-containing NMDA receptors promote glutamate synapse development in hippocampal interneurons.,2014 Nov 26,J Neurosci,34,48,,
"Tang Q, Burgalossi A, Ebbesen CL, Ray S, Naumann R, Schmidt H, Spicher D, Brecht M.",25482025,,,,,,1191,1197,Pyramidal and stellate cell specificity of grid and border representations in layer 2 of medial entorhinal cortex.,2014,Neuron,,,,
"Craig MT, McBain CJ",25716860,PMC4339363,,10.1523/JNEUROSCI.4166-14.2015,,,3616,24,Fast gamma oscillations are generated intrinsically in CA1 without the involvement of fast-spiking basket cells. ,2015 Feb 25,J Neurosci,35,8,,
"Valero M, Cid E, Averkin RG, Aguilar J, Sanchez-Aguilera A, Viney TJ, Gomez-Dominguez D, Bellistri E, de la Prida LM",26214372,,,,,,1281,1290,Determinants of Different Deep and Superficial CA1 Pyramidal Cell Dynamics During Sharp-Wave Ripples,2015,Nature Neuroscience,,,,
"Tang Q, Ebbesen CL, Sanguinetti-Scheck JI, Preston-Ferrer P, Gundlfinger A, Winterer J, Beed P, Ray S, Naumann R, Schmitz D, Brecht M, Burgalossi A.",26354904,,,,,,12346,12354,Anatomical Organization and Spatiotemporal Firing Patterns of Layer 3 Neurons in the Rat Medial Entorhinal Cortex.,2015,J Neurosci.,,,,
"Anstotz M, Huang H, Marchionni I, Haumann I, Maccaferri G, Lubke JH",26582498,PMC4712808,,10.1093/cercor/bhv271,,,855,72,"""Developmental Profile, Morphology, and Synaptic Connectivity of Cajal-Retzius Cells in the Postnatal Mouse Hippocampus.""",2016 Feb,Cereb Cortex,26,2,,
"Surmeli G, Marcu DC, McClure C, Garden DLF, Pastoll H, Nolan MF",26606996,,,,,,1040,1053,Molecularly Defined Circuitry Reveals Input-Output Segregation in Deep Layers of the Medial Entorhinal Cortex. ,2015 Dec 2,Neuron,88,,,
"Basu J, Zaremba JD, Cheung SK, Hitti FL, Zemelman BV, Losonczy A, Siegelbaum SA",26744409,,,,,,1,15,"""Gating of hippocampal activity plasticity,  plasticity,  and memory by entorhinal cortex long-range inhibition.""",2016 Jan 8,Science,351,,,
"Ferrante M, Tahvildari B, Duque A, Hadzipasic M, Salkoff D, Zagha EW, Hasselmo ME, McCormick DA",27269961,PMC6059165,,10.1093/cercor/bhw143,,,3186,3207,Distinct Functional Groups Emerge from the Intrinsic Properties of Molecularly Identified Entorhinal Interneurons and Principal Cells. ,2017 Jun 1,Cereb Cortex,27,6,,
"Guzman SJ, Schlogl A, Frotscher M, Jonas P",27609885,,,10.1126/science.aaf1836,,,1117,23,Synaptic mechanisms of pattern completion in the hippocampal CA3 network. ,2016 Sep 9,Science,353,6304,,
"Oliva A, Fernandez-Ruiz A, Buzsaki G, Berenyi A",27650887,,,,,,1593,1607,Spatial Coding and Physiological Properties of Hippocampal Neurons in the Cornu Ammonis Subregions,2016,Hippocampus,,,,
"Lopez-Pigozzi D, Laurent F, Brotons-Mas JR, Valderrama M, Valero M, Fernandez-Lamo I, Cid E, Gomez-Dominguez D, Gal B, Lde la Prida LM",27896315,,,,,,0,0,Altered Oscillatory Dynamics of CA1 Parvalbumin Basket Cells During Theta-Gamma Rhythmopathies of Temporal Lobe Epilepsy,2016,eNeuro,,,,
"Senzai Y, Buzsaki G.",28132824,,,,,,691,704,Physiological Properties and Behavioral Correlates of Hippocampal Granule Cells and Mossy Cells.,2017,Neuron,,,,
"Hamilton DJ, White CM, Rees CL, Wheeler DW, Ascoli GA",28549853,PMC5554463,,10.1016/j.jpba.2017.03.062,,,269,278,Molecular fingerprinting of principal neurons in the rodent hippocampus: A neuroinformatics approach. ,2017 Sep 10,J Pharm Biomed Anal,144,,,
"Soltesz I, Losonczy A",29593317,,,10.1038/s41593-018-0118-0,,,484,493,CA1 pyramidal cell diversity enabling parallel information processing in the hippocampus,2018,Nature Neuroscience,21,4,,
"Fernandez-Lamo I, Gomez-Dominguez D, Sanchez-Aguilera A, Oliva A, Morales AV, Valero M, Cid E, Berenyi A, de la Prida LM",30759386,,,,,,1734,1746,Proximodistal Organization of the CA2 Hippocampal Area,2019,Cell Reports,,,,
"Katona L, Hartwich K, Tomioka R, Somogyi J, Roberts JDB, Wagner K, Joshi A, Klausberger T, Rockland KS, Somogyi P",32016558,,,,,,705,734,Synaptic Organisation and Behaviour-Dependent Activity of mGluR8a-innervated GABAergic Trilaminar Cells Projecting From the Hippocampus to the Subiculum,2020,Brain Structure and Function,,,,
"Navas-Olive A, Valero M, Jurado-Parras T, de Salas-Quiroga A, Averkin RG, Gambino G, Cid E, de la Prida LM",32371879,,,,,,2217,,Multimodal determinants of phase-locked dynamics across deep-superficial hippocampal sublayers during theta oscillations,2020,Nature Communications,,,,
"Zhang X, Schlogl A, Jonas P",32763145,,,,,,1212,1225,Selective Routing of Spatial Information Flow from Input to Output in Hippocampal Granule Cells.,2020,Neuron,,,,
Santhakumar V,978-0-123736-49-9,,,,,,89,111,Modeling circuit alterations in epilepsy: A focus on mossy cell loss and mossy fiber sprouting in the dentate gyrus,2008,Computational neuroscience in epilepsy,,,1000: DG:GC: Dentate gyrus granule cell ### 1002: DG:MC: Dentate gyrus mossy cell ### 1008: DG:MOPP-NGF: Dentate gyrus MOPP cell ### 1009: DG:HICAP: Dentate gyrus HICAP cell ### 1010: DG:AA: Dentate gyrus axo-axonic cells ### 1033: DG:BC: Dentate gyrus basket cells,1
"Amaral D, Lavenex P",978-0-195100-27-3,,,,,,35,112,Hippocampal Neuroanatomy,2007,The Hippocampus Book,,,"1000: DG:GC: Dentate gyrus granule cell ### 1002: DG:MC: Dentate gyrus mossy cell ### 1008: DG:MOPP-NGF: Dentate gyrus MOPP cell ### 1009: DG:HICAP: Dentate gyrus HICAP cell ### 1010: DG:AA: Dentate gyrus axo-axonic cells, Dentate gyrus chandelier cells ### 1035: DG:BC: Dentate gyrus pyramidal basket cells, Dentate gyrus basket cells ### 1013: DG:HIPP: Dentate gyrus HIPP cell, Dentate gyrus long-spined multipolar cell ### 2000: CA3:PC-ab: CA3 pyramidal neuron ### 2030: CA3:BiC-ivy: CA3 bistratified cell ### 3000: CA2:PC: CA2 pyramidal cell ### 4000: CA1:PC: CA1 pyramidal cell ### 4013: CA1:BiC-TriC: radial trilaminar cell ### 4037: CA1:BC: CA1 basket, CA1 pyramidal basket, CA1 stellate basket, CA1 fusiform basket ### 4036: CA1:AA: CA1 axo-axonic neuron ### 4069: CA1:O-LM: CA1 O-LM cells ### 4026: CA1:BiC-ivy: CA1 bistratified cells ### 4035: CA1:TH-ORP-DP-OR: CA1 trilaminar horizontal ### 5001: SUB:PC-EC: subicular pyramidal cell ### 5005: SUB:PC-CA1: subicular pyramidal cell ### 6082: EC:excitatory: EC layer II stellate cells ### 6003: EC:SC_II: EC layer II spiny stellate neurons",1
"Spruston N, McBain C",978-0-195100-27-3,,,,,,133,200,Chapter 5: Structural and functional properties of hippocampal neurons,2007,The Hippocampus Book,,,"1000: DG:GC: Dentate gyrus granule cell ### 1002: DG:MC: Dentate gyrus mossy cell ### 1036: DG:BC: Dentate gyrus pyramidal basket cells, Dentate gyrus basket cells ### 1010: DG:AA: Dentate gyrus chandelier cells ### 2000: CA3:PC-ab: CA3 pyramidal neuron, pyramidal cell located in mid CA3, pyramidal cell located in distal CA3, CA3a pyramidal cell, CA3b pyramidal cell ### 2004: CA3:PC-c: CA3 pyramidal neuron ### 4069: CA1:O-LM: CA1 O-LM cells ### 5001: SUB:PC-EC: subicular pyramidal neuron ### 5005: SUB:PC-CA1: subicular pyramidal neuron ### 6082: EC:excitatory: EC stellate cells of layer II ### 6003: EC:SC_II: MEC stellate cells of layer II ### 6092: EC:PC_III: EC layer III pyramidal neurons, EC layer III type 1 pyramidal cells",1
Somogyi P,978-0-195389-88-3,,,,,,148,164,Chapter: Hippocampus: Intrinsic organisation,2010,Handbook of Brain Microcircuits,,,"4000: CA1:PC: CA1 pyramidal cell ### 4006: CA1:PPA-SUB: perforant path associated ### 4012: CA1:NGF: CA1 neurogliaform cells ### 4015: CA1:SCA-ADI: CA1 Schaffer collateral-associated cell, CA1 apical dendrite innervating cells ### 4037: CA1:BC: CA1 basket PV, CA1 basket VIP, CA1 basket VGLUT3 ### 4036: CA1:AA: CA1 axo-axonic neuron ### 4020: CA1:quad_IS-3: CA1 interneuron specific III, CA1 IN spec-III ### 4021: CA1:IS-2: CA1 interneuron specific-II ### 4023: CA1:BP: CA1 back-projection cell ### 4069: CA1:O-LM: CA1 O-LM cells ### 4026: CA1:BiC-ivy: CA1 bistratified cells, CA1 ivy cells ### 4041: CA1:ENK: CA1 enkephalin expressing cells ### 4035: CA1:TH-ORP-DP-OR: CA1 trilaminar, CA1 oriens-retrohippocampal cells, CA1 double projection cells ### 4039: CA1:BC-FSPTI: CA1 basket cells",1
Witter MP,978-1-441909-95-4,,,,,,5,26,Connectivity of the Hippocampus,2010,Hippocampal Microcircuits: A Computational Modeler's Resource Book,,,1000: DG:GC: Dentate gyrus granule cell ### 1002: DG:MC: Dentate gyrus mossy cell ### 2000: CA3:PC-ab: more distal CA3 pyramidal cells ### 2004: CA3:PC-c: pyramidal cell in the most proximal portion of CA3 ### 4000: CA1:PC: CA1 pyramidal cell,1
Vida I,978-1-441909-95-4,,,,,,27,68,Morphology of Hippocampal Neurons,2010,Hippocampal Microcircuits: A Computational Modeler's Resource Book,,,"1000: DG:GC: Dentate gyrus granule cell ### 1002: DG:MC: Dentate gyrus mossy cell ### 1005: DG:TML-MOLAX: Dentate gyrus total molecular layer interneuron ### 1008: DG:MOPP-NGF: Dentate gyrus MOPP cell ### 1009: DG:HICAP: Dentate gyrus HICAP cell ### 1010: DG:AA: Dentate gyrus axo-axonic cells ### 1033: DG:BC: Dentate gyrus fast-spiking PV-BCs ### 1013: DG:HIPP: Dentate gyrus HIPP cell ### 2000: CA3:PC-ab: CA3 pyramidal cell ### 2004: CA3:PC-c: CA3c pyramidal cell ### 2028: CA3:AA: CA3 axo-axonic cells, CA3 AACs ### 2035: CA3:MFA-2: CA3 mossy fiber-associated interneurons ### 2020: CA3:TriC: CA3 trilaminar cell ### 3000: CA2:PC: CA2 pyramidal cell ### 4000: CA1:PC: CA1 pyramidal cell ### 4005: CA1:NGF-LM: CA1 neurogliaform interneuron, CA1 NG cell ### 4006: CA1:PPA-SUB: perforant path-associated ### 4037: CA1:BC: CA1 basket ### 4036: CA1:AA: CA1 axo-axonic neuron ### 4020: CA1:quad_IS-3: CA1 interneuron-specific interneuron Type III, CA1 IS-III ### 4021: CA1:IS-2: CA1 interneuron specific Type II interneurons, CA1 IS-II cells ### 4023: CA1:BP: CA1 back-projection cell ### 4069: CA1:O-LM: CA1 O-LM cells ### 4026: CA1:BiC-ivy: CA1 bistratified cells, CA1 ivy cells ### 4028: CA1:SCA-SR-CB: CA1 Schaffer collateral-associated cells ### 4035: CA1:TH-ORP-DP-OR: CA1 trilaminar",1
"Bartos M, Sauer JF, Vida I, Kulik A",978-1-441909-95-4,,,,,,129,162,Fast and Slow GABAergic Transmission in Hippocampal Circuits,2010,Hippocampal Microcircuits: A Computational Modeler's Resource Book,,,"1004: DG:TML: Dentate gyrus total molecular layer cell ### 1033: DG:BC: Dentate gyrus basket cells ### 2035: CA3:MFA-2: CA3 mossy fiber-associated interneurons ### 4000: CA1:PC: CA1 pyramidal cell ### 4012: CA1:NGF: CA1 neurogliaform cells, CA1 NG cells ### 4069: CA1:O-LM: CA1 O-LM cells",1
"Gloveli T, Kopell N, Dugladze T",978-1-441909-95-4,,,,,,247,276,Neuronal Activity Patterns During Hippocampal Network Oscillations In Vitro,2010,Hippocampal Microcircuits: A Computational Modeler's Resource Book,,,"2008: CA3:R-LM: CA3 R-LM cell ### 2009: CA3:O-LM: CA3 O-LM cell ### 2020: CA3:TriC: CA3 trilaminar cell ### 4000: CA1:PC: CA1 pyramidal cell ### 4012: CA1:NGF: CA1 neurogliaform cells ### 4037: CA1:BC: CA1 basket, CA1 basket PV ### 4026: CA1:BiC-ivy: CA1 ivy cells",1
"Morgan RJ, Soltesz I",978-1-441909-95-4,,,,,,495,526,Microcircuit Model of the Dentate Gyrus in Epilepsy,2010,Hippocampal Microcircuits: A Computational Modeler's Resource Book,,,1000: DG:GC: Dentate gyrus granule cell ### 1002: DG:MC: Dentate gyrus mossy cell ### 1008: DG:MOPP-NGF: Dentate gyrus MOPP cell ### 1009: DG:HICAP: Dentate gyrus HICAP cell ### 1010: DG:AA: Dentate gyrus axo-axonic cells ### 1033: DG:BC: Dentate gyrus basket cells,1
"Szabo GG, Du X, Oijala M, Varga C, Parent JM, Soltesz I",28793251,,,10.1016/j.celrep.2017.07.042,,,1262,1268,Extended Interneuronal Network of the Dentate Gyrus,2017,Cell Reports,20,6,,
"Dong H, Swanson LW, Chen L, Fanselow MS, Toga AW",19561297,,,10.1073/pnas.0812608106,,,11794,11799,Genomic-anatomic evidence for distinct functional domains in hippocampal field CA1,2009,Proc Natl Acad Sci U S A,106,28,,
"Cembrowski MS, Wang L, Lemire AL, Copeland M, DiLisio SF, Clements J, Spruston N",30375971,,,10.7554/eLife.37701,,,1,21,The subiculum is a patchwork of discrete subregions,2018,eLife,7,,,
"Chang EH, Huerta PT",22833721,,,10.3389/fnbeh.2012.00046,,,1,13,Neurophysiological correlates of object recognition in the dorsal subiculum,2012,Frontiers in Behavioral Neuroscience,9,46,,
Han ZS,7516510,,,10.1016/0168-0102(94)90013-2,,,101,110,Electrophysiological and morphological differentiation of chandelier and basket cells in the rat hippocampal formation: a study combining intracellular recording and intracellular staining with biocytin,1994,Neurosci Res,19,1,,
